"name","Zi","Pi","type"
"OTU_1",2.19772957054171,0,"Peripherals"
"OTU_10",-0.638943232544051,0,"Peripherals"
"OTU_1008",0,0,"Peripherals"
"OTU_1009",0.606478434863123,0,"Peripherals"
"OTU_1013",0,0,"Peripherals"
"OTU_1031",-0.859144007601605,0,"Peripherals"
"OTU_1037",0,0,"Peripherals"
"OTU_1057",0.866025403784439,0,"Peripherals"
"OTU_106",-0.905042056257888,0,"Peripherals"
"OTU_1060",-1.08421325480057,0,"Peripherals"
"OTU_1067",-0.859144007601605,0,"Peripherals"
"OTU_107",2.0034660681466,0.124444444444444,"Peripherals"
"OTU_1072",0,0,"Peripherals"
"OTU_1073",-0.638943232544051,0,"Peripherals"
"OTU_1080",-0.859144007601605,0,"Peripherals"
"OTU_1088",1.69265453211202,0,"Peripherals"
"OTU_109",0,0,"Peripherals"
"OTU_1090",-0.67397040163279,0,"Peripherals"
"OTU_11",-0.0981691815623253,0,"Peripherals"
"OTU_1104",-0.638943232544051,0,"Peripherals"
"OTU_1105",0,0,"Peripherals"
"OTU_1112",-0.866025403784439,0,"Peripherals"
"OTU_1116",-0.263727548465005,0,"Peripherals"
"OTU_112",-0.231059262285517,0,"Peripherals"
"OTU_1127",-0.577350269189626,0,"Peripherals"
"OTU_1130",0,0,"Peripherals"
"OTU_1133",0,0,"Peripherals"
"OTU_1147",0,0,"Peripherals"
"OTU_115",0.866025403784439,0,"Peripherals"
"OTU_1150",0,0,"Peripherals"
"OTU_116",-0.577350269189626,0,"Peripherals"
"OTU_117",0,0,"Peripherals"
"OTU_1175",0,0,"Peripherals"
"OTU_1176",-0.5,0,"Peripherals"
"OTU_1186",-0.231059262285517,0,"Peripherals"
"OTU_119",-0.866025403784439,0,"Peripherals"
"OTU_1191",-0.263727548465005,0,"Peripherals"
"OTU_1197",-0.866025403784439,0,"Peripherals"
"OTU_120",0.100560228473099,0,"Peripherals"
"OTU_1201",-0.859144007601605,0,"Peripherals"
"OTU_1218",0,0,"Peripherals"
"OTU_123",2.0034660681466,0,"Peripherals"
"OTU_1231",-0.5,0,"Peripherals"
"OTU_1241",-1.29099444873581,0,"Peripherals"
"OTU_1249",-0.638943232544051,0,"Peripherals"
"OTU_1259",0.699634973222683,0.444444444444444,"Peripherals"
"OTU_126",1.12266296791638,0,"Peripherals"
"OTU_1262",2.2996655275195,0,"Peripherals"
"OTU_1264",-0.866025403784439,0,"Peripherals"
"OTU_1275",-0.0981691815623253,0,"Peripherals"
"OTU_1276",0,0,"Peripherals"
"OTU_1296",0,0,"Peripherals"
"OTU_1297",-0.418742457486497,0,"Peripherals"
"OTU_130",1.37620470640795,0,"Peripherals"
"OTU_1301",0,0,"Peripherals"
"OTU_1309",0,0,"Peripherals"
"OTU_131",0,0,"Peripherals"
"OTU_1322",-0.822071093536653,0,"Peripherals"
"OTU_1326",-0.866025403784439,0,"Peripherals"
"OTU_1327",0,0,"Peripherals"
"OTU_1329",0.866025403784439,0,"Peripherals"
"OTU_133",-0.859144007601605,0,"Peripherals"
"OTU_1330",0.866025403784439,0,"Peripherals"
"OTU_134",0,0,"Peripherals"
"OTU_1351",-0.577350269189626,0,"Peripherals"
"OTU_1366",-0.577350269189626,0,"Peripherals"
"OTU_1379",-0.638943232544051,0,"Peripherals"
"OTU_138",0.261325628127216,0,"Peripherals"
"OTU_1395",0,0,"Peripherals"
"OTU_1400",0,0,"Peripherals"
"OTU_141",0,0,"Peripherals"
"OTU_1419",0.46206064274372,0,"Peripherals"
"OTU_142",0.408248290463863,0,"Peripherals"
"OTU_1422",-0.970448901599169,0,"Peripherals"
"OTU_1430",-0.638943232544051,0,"Peripherals"
"OTU_1434",-0.0981691815623253,0,"Peripherals"
"OTU_1443",0,0,"Peripherals"
"OTU_1444",0.866025403784439,0,"Peripherals"
"OTU_1450",0,0,"Peripherals"
"OTU_1464",-0.905042056257888,0,"Peripherals"
"OTU_1466",0,0,"Peripherals"
"OTU_147",-0.816496580927726,0,"Peripherals"
"OTU_1487",-0.5,0,"Peripherals"
"OTU_1505",-0.981691815623253,0,"Peripherals"
"OTU_152",0.0216590926286118,0.448979591836735,"Peripherals"
"OTU_1530",0.785353452498602,0,"Peripherals"
"OTU_1552",0,0,"Peripherals"
"OTU_1569",-0.0981691815623253,0,"Peripherals"
"OTU_157",0,0,"Peripherals"
"OTU_1580",-1.09756763813431,0,"Peripherals"
"OTU_1582",0.508330377028136,0,"Peripherals"
"OTU_1585",0,0,"Peripherals"
"OTU_1586",0,0,"Peripherals"
"OTU_1587",0,0,"Peripherals"
"OTU_1596",-0.272915295688405,0.444444444444444,"Peripherals"
"OTU_16",1.50430416953579,0,"Peripherals"
"OTU_160",-0.712612160964169,0,"Peripherals"
"OTU_1603",0,0,"Peripherals"
"OTU_1606",0,0,"Peripherals"
"OTU_1627",0,0,"Peripherals"
"OTU_163",0,0,"Peripherals"
"OTU_1631",0.866025403784439,0,"Peripherals"
"OTU_164",0.866025403784439,0,"Peripherals"
"OTU_1647",0,0,"Peripherals"
