"","sample","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","Sample_name","block","plot","year","Precipitation","Warm","Clip","warm","precip","clip","total.biomass","F.Bratio","Bacteria.biomass","AM.Fungi.biomass","Fungi.biomass","NO3.N","NH4.N","TN","TC","pH","FlTotl","FlC4","FlC3","plant.richness","annual_moisture","precipitation_Oct_cm","precipitation_annual_cm","SPEI","temperature_annual","ER_annualmean","GPP_annualmean","NEE_annualmean","Autotrophic","Heterotrophic","total_soil_respiration","group"
"1","X13_12N_N_N_2",-7.57634310412502,-6.60367217900638,-10.1100851229725,0.184794451716339,-2.06896488502819,0.500894200412482,-0.0146854131496663,-1.39631548487382,-3.75748957627886,3.82423213391223,-0.210406403121979,3.80082527607157,11.898114032669,13.8149205151572,29.5890547368431,1.28430252543943e-14,"X13_12N_N_N_2","B2","N12",2013,"double","unwarming","uncliping",0,2,0,52373.39222,0.077126201,47709.84121,1667.413863,2012.26494,1.81,3.94,0.087,0.762,6.54,116.6559436,28.56120695,88.09473664,2,10.5525,8.1,99.38,0.3783,16.16015343,4.507311651,5.16098975,0.653678098,1.682083333,1.130902778,2.812986111,2013
"2","X13_18S_H_C_0",16.450640354538,-7.53983363309351,-14.8644199300449,3.82063530938121,-10.0915049060315,14.976623311835,-17.5049237002653,28.3701912154048,7.66991226167109,1.9724401077206,6.82812694853964,1.36663756167767,3.22390863208028,-3.83161796698775,-3.89290168962136,-2.90470772434936e-14,"X13_18S_H_C_0","B4","S18",2013,"half","warming","Cliping",1,0.5,1,25086.49574,0.066126674,23109.01199,631.6707536,896.451354,1.28,2.27,0.075,0.658,6.34,420.84,197.88,222.96,6,5.6925,8.1,99.38,0.3783,20.16873354,3.995088961,4.228701245,0.233612284,1.206944444,1.483784722,2.690729167,2013
"3","X13_22N_H_N_2",-12.288248241877,-1.12119435639462,-0.540301980887899,-34.0916262108405,15.3445833201525,-6.09391314429678,-20.5214689393256,-0.0706476525607605,-12.5156211144091,4.09483262401174,1.10005667922665,-3.34699476274859,-0.966333542452856,0.359145227783418,-4.23721381532242,4.35753863547994e-14,"X13_22N_H_N_2","B4","N22",2013,"double","warming","uncliping",1,2,0,34319.12429,0.10101049,30939.30979,817.67081,2307.524044,2.62,3.66,0.081,0.714,6.34,169.4853084,28.56120695,140.9241015,4,7.725,8.1,99.38,0.3783,18.6400585,3.944962263,5.211825972,1.266863709,0.900208333,2.222465278,3.122673611,2013
"4","X13_23N_N_N_1",-19.8603737329102,-3.39980462711435,27.3823250153862,15.1206554120307,13.549039283591,25.7428588224863,-8.83679458029709,-1.90759628861437,-0.297985165392689,-5.76852310051608,-3.78858023439483,-7.10021336368643,-2.27476002841491,2.30729576900337,1.34138502352616,-2.04423609116711e-14,"X13_23N_N_N_1","B4","N23",2013,"normal","unwarming","uncliping",0,1,0,37018.26848,0.044799491,34745.56805,974.9161363,581.6676216,1.65,3.15,0.113,1.16,6.28,254.0122922,28.56120695,225.4510853,5,6.71875,8.1,99.38,0.3783,16.42034861,4.038664885,6.114549266,2.075884381,0.383506944,2.404444444,2.787951389,2013
"5","X13_3N_N_N_1",-18.4507575778682,14.4041170422805,9.27196860285079,15.2129527225594,10.5913748915764,-25.927794833797,5.14343846071782,21.4351635845832,1.90083913943814,9.29796608033055,5.78150590578375,-2.87190697211969,-2.80938074722951,1.76055648971307,0.0457704986446654,-2.9187264584396e-14,"X13_3N_N_N_1","B1","N03",2013,"normal","unwarming","uncliping",0,1,0,21013.45432,0,20575.25414,0,0,3.52,2.54,0.091,0.772,6.41,82.31685643,28.56120695,53.75564948,7,10.685,8.1,99.38,0.3783,16.68461503,2.990479804,5.016509627,2.026029823,1.522013889,1.209444444,2.731458333,2013
"6","X13_4S_H_C_2",-7.76072714902689,-2.87118173544478,-14.7391382800327,0.616006655226244,0.257024099763609,3.36515704682344,7.18340944337257,-3.83256503105379,3.41381120492784,-7.89701244703522,6.15622536062716,7.34012785695702,-17.2218692415609,24.9261427121945,-11.4401672136308,1.4544572143893e-16,"X13_4S_H_C_2","B2","S04",2013,"double","warming","Cliping",1,2,1,38593.96852,0.048068664,36489.10862,935.9941142,817.9886017,2.9,3.79,0.075,0.62,6.34,209.96,20.43,189.53,5,8.65125,8.1,99.38,0.3783,20.0657345,2.84557033,4.580599369,1.735029039,1.226342593,1.615462963,2.841805556,2013
"7","X13_6N_N_N_1",3.89499471542486,-6.68129449082368,-1.84637556302088,8.72548022356567,2.58720894680226,-7.90249550212441,-1.21033740663834,3.82681325535627,-15.3759520493901,-14.9062998360973,-21.0395924443607,23.1072094173149,-0.307454345717985,-7.81399483421702,-2.21043438783309,-5.71115149530094e-14,"X13_6N_N_N_1","B2","N06",2013,"normal","unwarming","uncliping",0,1,0,22392.029,0.014826944,21864.31063,324.1809124,0,6.23,2.9,0.091,0.716,6.17,166.8438402,38.90379216,127.940048,4,10.1575,8.1,99.38,0.3783,16.71905034,2.369703856,5.108256723,2.738552867,1.602152778,0.949166667,2.551319444,2013
"8","X13_8N_N_N_0",-10.9198088901486,7.27036198352049,-6.43319740378303,-7.5990786729299,6.25079843920784,0.74997278218535,0.927157316788983,-7.70089648700248,33.0698397420189,7.0189622054399,-16.6388229468018,6.77808073828836,2.93274606424188,-5.7756226829315,-0.8957047124981,3.52465452657658e-14,"X13_8N_N_N_0","B1","N08",2013,"half","unwarming","uncliping",0,0.5,0,25462.33959,0.03915881,24143.17383,533.4639708,411.9539872,5.66,3.08,0.094,0.857,6.37,565.7055448,456.7442345,108.9613103,6,9.96125,8.1,99.38,0.3783,16.98176181,2.240723315,3.382195024,1.141471709,1.613263889,1.267916667,2.881180556,2013
"9","X14_15N_H_N_0",36.5407352819137,-9.89014907152036,14.0438250023979,7.63723336858179,2.22654393448732,-15.6939529295145,-15.4268107536684,-16.4218864743996,9.97613884123127,-3.122463535467,13.761689698702,3.99605755383042,-3.18066045597535,-0.172339350659724,2.87527660412179,-2.33068772614864e-14,"X14_15N_H_N_0","B3","N15",2014,"half","warming","uncliping",1,0.5,0,22856.44752,0.021432034,22119.14336,291.1169405,182.9413006,21.36,2.56,0.077,0.661,6.24,125.863,116.811,9.052,4,4.062,5.8,60.99,-0.8941,20.69737106,0.324361388,1.51574333,1.191381942,0.607381366,1.980066551,2.587447917,2014
"10","X14_16S_H_C_1",15.5493418445305,47.2375991956975,2.75556693673594,-2.28423407901887,-10.1149756246563,7.92957917737937,-2.07744483947002,-5.25075164729748,-6.92494499594424,-3.23803374380614,1.96935996768225,3.08977862485669,4.03450877187055,1.7539355814798,0.0091821343967565,-1.89297362507279e-14,"X14_16S_H_C_1","B4","S16",2014,"normal","warming","Cliping",1,1,1,16830.70339,0,16509.02622,0,0,15.83,4.22,0.115,1.112,5.93,63.62,46.015,17.605,5,4.478,5.8,60.99,-0.8941,20.8744339,3.200712072,3.894537716,0.693825645,1.660034722,1.053793403,2.713828125,2014
