"","PCoA1","PCoA2","Warm"
"X13_12N_N_N_2",1.68516847785932,-0.710968938227884,"unwarming"
"X13_18S_H_C_0",-0.253290043868547,1.99436335281261,"warming"
"X13_22N_H_N_2",1.70344168719227,-1.11358328561988,"warming"
"X13_23N_N_N_1",1.90440311390929,-1.27786811304951,"unwarming"
"X13_3N_N_N_1",1.70088336312288,-0.415038312003388,"unwarming"
"X13_4S_H_C_2",1.42911306290597,-0.193558957029923,"warming"
"X13_6N_N_N_1",-0.595884138524808,0.09608848725137,"unwarming"
"X13_8N_N_N_0",1.48383702276663,-0.40141216770081,"unwarming"
"X14_15N_H_N_0",-7.73327865169391,-3.68267122309901,"warming"
"X14_16S_H_C_1",-1.44742294400367,3.86898957355604,"warming"
"X14_1N_H_N_1",-4.06900140934855,2.03179219823239,"warming"
"X14_23S_N_C_1",2.09327678143709,-1.3543899457591,"unwarming"
"X14_3N_N_N_1",1.78724323569822,-0.509239462998378,"unwarming"
"X14_3S_N_C_1",1.84250062463467,-0.754660497910238,"unwarming"
"X14_4N_H_N_2",-1.99574438871694,1.19183097060791,"warming"
"X14_4S_H_C_2",0.464754206630107,1.23032632093781,"warming"
