"","PCoA1","PCoA2","Warm"
"X13_12N_N_N_2",7.4447618791497,-1.78385478409348,"unwarming"
"X13_18S_H_C_0",-4.82252892457391,12.0204063599991,"warming"
"X13_22N_H_N_2",5.27577140833724,-2.43075536603572,"warming"
"X13_23N_N_N_1",10.3695976188347,-2.35900875445899,"unwarming"
"X13_3N_N_N_1",8.82389088808336,-0.0495913651895966,"unwarming"
"X13_4S_H_C_2",8.03527177481267,-1.31355204584449,"warming"
"X13_6N_N_N_1",-5.49393184554421,9.92412798272871,"unwarming"
"X13_8N_N_N_0",6.47726404497592,-2.98968453088638,"unwarming"
"X14_15N_H_N_0",-34.2149627915669,-8.05775821246325,"warming"
"X14_16S_H_C_1",-8.22107441078955,3.32579725080563,"warming"
"X14_1N_H_N_1",-15.1319494478565,-3.76899644402323,"warming"
"X14_23S_N_C_1",12.0348779223254,-3.49568291436453,"unwarming"
"X14_3N_N_N_1",9.5223425113961,-2.19384861025266,"unwarming"
"X14_3S_N_C_1",10.8628193669198,-2.35874235494014,"unwarming"
"X14_4N_H_N_2",-13.3892246349181,2.32751906191699,"warming"
"X14_4S_H_C_2",2.42707464041427,3.20362472710196,"warming"
