node1	node2	X13_12N_N_N_2	X13_18S_H_C_0	X13_22N_H_N_2	X13_23N_N_N_1	X13_3N_N_N_1	X13_4S_H_C_2	X13_6N_N_N_1	X13_8N_N_N_0	X14_15N_H_N_0	X14_16S_H_C_1	X14_1N_H_N_1	X14_23S_N_C_1	X14_3N_N_N_1	X14_3S_N_C_1	X14_4N_H_N_2	X14_4S_H_C_2
OTU_1008	OTU_1019	0	-0.0816858554694577	0	-0.180012369672235	0	0	0	0	-0.43081546016586	-0.162588061177766	0	0	-0.202156355673412	0	0	0
OTU_1027	OTU_1051	-0.0945950030550474	-0.149972344842894	0	0	-0.145950285045473	-0.113224590374873	-0.258709653025258	-0.0897731436657688	0	-0.280143979718446	-0.184307754345113	-0.150989607498114	0	0	-0.142901905372764	0
OTU_1020	OTU_1056	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.170656983722939	0	0
OTU_1005	OTU_107	-0.110282927779636	0.113436601081811	0	0	0	0	0	0	0	0	0.0979247882945831	0	-0.0861495485509368	0	0	0
OTU_1005	OTU_109	0	0	0	0	0	0	0	-0.0803702945281987	-0.11056137636298	-0.126425602692514	0.0799987743126133	-0.0717317385637275	-0.142338942800183	0	0	0
OTU_10	OTU_11	0	0	0	0	0	0	0	0	-0.0757934335986666	0	0	0	0	0	0	0
OTU_1033	OTU_11	0	-0.115214214469302	0	0	0	0	0	-0.0883968891899677	0	0	0	0	0	0	0	-0.0781651551008791
OTU_10438	OTU_10975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1032	OTU_1107	0	0	0	0	-0.0739041817806341	0	0	0	0	0	0	-0.0775324952923798	0	0	0	-0.0994008347371157
OTU_10407	OTU_1109	0	0	0	-0.103980918955039	0	0	0	-0.0986857471281307	0	0	0	0	0	0	0	-0.142882939549672
OTU_1	OTU_1116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_10555	OTU_11187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1065	OTU_1121	0	0	0	-0.114481860592751	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1050	OTU_1122	0.0645527154855146	0.0611181113133995	-0.161266678584332	-0.113718950796593	-0.127967513542193	0.0696957616370834	0	-0.0770149785583406	0	-0.0696528941800538	0.0552340071966157	-0.263381729602838	0.0695855023606349	-0.0816170256414404	0.0592682596674325	-0.0759331799567357
OTU_1010	OTU_1126	0	-0.271444623244676	0	0	0	0	0	0	0	0	0	0	0	0	-0.0763942537147916	0
OTU_1049	OTU_11304	0	0	0	0	0	-0.0949306959656159	0	-0.100201262338264	0	0	0	0	0	0	0	0
OTU_1056	OTU_1130	0	-0.150480247444089	0	-0.137343037144537	0	0	0	0	0	0	0	0	0	0	-0.0843065775663082	0
