	X13_12N_N_N_2	X13_18S_H_C_0	X13_22N_H_N_2	X13_23N_N_N_1	X13_3N_N_N_1	X13_4S_H_C_2	X13_6N_N_N_1	X13_8N_N_N_0	X14_15N_H_N_0	X14_16S_H_C_1	X14_1N_H_N_1	X14_23S_N_C_1	X14_3N_N_N_1	X14_3S_N_C_1	X14_4N_H_N_2	X14_4S_H_C_2
OTU_1008	0.357785564293295	0.378736906584128	0.337926838866769	0.301854209137143	0	0.078005541302751	0.136906648104099	0.0910731724696286	1.01924020505787	0.162588061177766	0.217829845710892	0	0.353342983824784	0.0901699240784172	0	0.0841176001615086
OTU_1027	0.0945950030550474	0.971786179446575	0.410074968252354	0	1.79659905796263	0.228289130765679	1.37669804631159	0.0897731436657688	0.600774566777616	3.05766777960226	0.980681359278489	0.364684012080363	0.358085290573484	0.421147687269472	0.530520291848267	0.99870163038727
OTU_1020	0	0	0	0	0	0	0.198511319854914	0	0	0	0	0	0	0.170656983722939	0	0.0861125927709776
OTU_1005	0.537821355525054	0.949169366097192	0	0	0.0796552973436852	0	0.0625731402095973	0.302300496043235	0.197142019756003	0.531348662132576	0.654635956933764	0.0717317385637275	0.511974226246978	0	0	0
OTU_10	0	0	0	0.0541934449927244	0.351304529463609	0.0930340287266288	0.570862432262745	0.589268061722822	0.394668680364524	0.309611704198297	0.324234541592231	0.206480612429406	0.0486765505488729	0	1.47765842520227	0.370366772038857
OTU_1033	0	0.115214214469302	0.377718085584482	0.0842656545984203	0.208536045435302	0	0	0.0883968891899677	0	0	0	0	0.35825826120796	0	0	0.0781651551008791
OTU_1032	0	0.11189067888793	0	0.168954124241398	0.0739041817806341	0	0.0856920745792343	0	0.157984500564548	0.163843244474033	0.327698453094449	0.0775324952923798	0	0.148074830995899	0	0.0994008347371157
OTU_10407	0	0	0	0.103980918955039	0	0	0	0.0986857471281307	0	0	0	0	0	0	0	0.142882939549672
OTU_1065	0.0616619429786787	0.0770498969300598	0	0.114481860592751	0.12929489146985	0.0647368261273675	0	0.118759025470134	0.0653002381403199	0	0	0.138596008440665	0	0	0	0
OTU_1050	0.159826027936925	0.157606763875736	0.519715708874303	0.113718950796593	0.127967513542193	0.156661981453036	0	0.0770149785583406	0	0.178845955600665	0.375818310376555	0.263381729602838	0.313992842074417	0.175138529992617	0.152440721037827	0.0759331799567357
OTU_1010	0.0871285292884315	0.46587952955543	0	0	0	0	0.0819137717191109	0.280009308431327	0.104581767488937	0	0.523057125445167	0	0	0	0.0763942537147916	0.0777013008594596
OTU_1049	0	0.0878643848665672	0	0	0	0.351044715299961	0.166832558006897	0.405745785533416	0	0.211378943376149	0.19215933088986	0	0.288489633556304	0	0.0808132705998199	0
OTU_1056	0	0.465244787304413	0	0.284104471430912	0	0.0982087386417182	0.141652990331932	0	0	0	0.375043476721849	0.112446333037835	0	0.717805350496856	0.540612952704176	0.0768040358053717
OTU_1009	0.48611077481897	1.00666470065346	0.174973072508297	1.19832506469156	2.02799024133202	0.107324337921054	1.0121937933836	0.115741135243861	0.451998440390337	1.72542228380263	1.2300514718057	0.0890152125978514	1.0076729982316	0	0.382155485391367	0.49288968272345
OTU_1013	0.698686072614861	0	0.144912866080381	0.202825011411915	0.351061433223329	0.320464442992245	0.128982732012275	0.439060347085544	0.660456760592245	0.159073550305223	1.23993943862063	0.138255613779058	0.912823507732861	1.38682209642927	2.01896927995177	1.36333436807323
OTU_10015	0.102834858017849	0	0.38500993236154	0.462609786557663	0	0	0	0	0	0.600792116670506	0.423444815097517	0.224499143562159	0.189737071299859	0	0	0
