"","Means","SD","warming"
"Nodes",794.08,3.78107995902833,"813"
"Edges",1522,0,"1522"
"Average_Local_Clustering_Coefficient",0.004375524183,0.00194749150935839,"0.2562446"
"Connectance",0.00483384411,4.60204508744184e-05,"0.004611031"
"Edge_Connectivity",0.35,0.479372485441102,"0"
"Average_Degree",3.83345283,0.0182420338507309,"3.744157"
"Average_Shortest_Path_Length",5.16041974,0.0331871045107962,"5.57485"
"Diameter",11.08,0.720269309902816,"19.88043"
"Degree_Centralization",0.00916311126,0.00112954564194108,"0.02987173"
"Betweenness_Centralization",0.028522223,0.00442826471801599,"0.1124846"
"Closeness_Centralization",1.0756657727,0.724417682330524,"1.284653"
"Eigenvector_Centralization",0.815276156,0.0317413095797327,"0.9507905"
"No_Cluster",2.07,1.0372360318937,"94"
"Average_Local_Efficiency",0.181182859,0.00321983523758451,"0.2969121"
"Relative_Modularity",0.01359792213,0.0356017273901901,"0.3854626"
