,OTU_1,OTU_10,OTU_100,OTU_1000,OTU_1001,OTU_1003,OTU_1004,OTU_1005,OTU_1006,OTU_1007,OTU_1008,OTU_1009,OTU_101,OTU_1010
OTU_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1003,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1004,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1005,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1006,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1007,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1008,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1009,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_101,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
