"name","Degree","Local_Clustering_Coefficient","Betweenness_Centrality","Closeness_Centrality","Eigenvector_Centrality","PageRank","K_core","Zi","Pi","type"
"OTU_1",9,0.194444444444444,119,0.0353874565018321,1.21309916102416e-16,0.00312580173266857,3,2.79124963860298,0,"Module hubs"
"OTU_10",2,0,1166,0.000188155705739719,1.7832662730303e-10,0.00113478822516705,1,-0.153714178853116,0,"Peripherals"
"OTU_100",14,0.230769230769231,8663,0.00042090134556383,0.0525183421007233,0.00290400531341966,5,2.04113321502201,0.13265306122449,"Peripherals"
"OTU_1003",1,0,0,1.2213151654384,5.63170940807032e-18,0.00123001230012325,1,0,0,"Peripherals"
"OTU_1007",2,0,133,0.000345107154579943,0.00712487426303366,0.000609683675790695,2,-0.900577398181458,0,"Peripherals"
"OTU_1008",9,0.305555555555556,1060,0.000423888080055213,0.185667745318403,0.00176881760790055,5,0.115163350151082,0,"Peripherals"
"OTU_101",7,0.19047619047619,2086,0.000404081806606851,0.0052454326640696,0.00193208793230828,3,1.02059143963542,0.244897959183674,"Peripherals"
"OTU_10117",1,0,0,0.00034900993619785,0.0273311898174924,0.000345173966499851,1,-0.802225572149362,0,"Peripherals"
"OTU_1019",2,0,152,0.000335763949261016,0.00268884650359492,0.000630052378612416,2,-0.663983094043305,0,"Peripherals"
"OTU_102",3,0.333333333333333,1166,0.000348063233885113,0.00104607442502448,0.00115153703983947,2,-0.577350269189626,0.444444444444444,"Peripherals"
"OTU_1020",2,0,225,0.000385619451636649,0.00509664837132823,0.000587510719673918,2,-0.881419879685137,0.5,"Peripherals"
"OTU_1026",1,0,0,0.000304998627224722,0.00170393009033458,0.000475160249738356,1,-0.923132662754102,0,"Peripherals"
"OTU_1027",1,0,0,1.23985378925134,8.92185691700451e-18,0.00123001230012325,1,0,0,"Peripherals"
"OTU_1038",1,0,0,1.22753564167208,4.77981119190225e-18,0.00123001230012325,1,0,0,"Peripherals"
"OTU_104",1,0,0,0.000334728692361688,0.000217684876291059,0.000517677599141475,1,-1.04638261415677,0,"Peripherals"
"OTU_1044",1,0,0,1.24928799510804,0,0.00123001230012325,1,0,0,"Peripherals"
"OTU_1045",1,0,0,0.413191587729565,6.49400226795909e-18,0.000949493293009227,1,-0.577350269189626,0,"Peripherals"
"OTU_1046",1,0,0,0.406303139549856,5.65132035366996e-18,0.000936494406841151,1,-0.577350269189626,0,"Peripherals"
"OTU_1050",4,0.5,36,0.000388620285731079,0.0311714609499008,0.000876747611020069,4,-0.610365755800732,0,"Peripherals"
"OTU_1052",2,0,1,0.613837263554392,8.41714005302481e-18,0.00179515308666594,1,1.15470053837925,0,"Peripherals"
"OTU_1054",1,0,0,0.000357638477107106,0.0680343447074858,0.000312694358005689,1,-0.802225572149362,0,"Peripherals"
"OTU_1056",1,0,0,0.394110050733263,7.5993752507759e-18,0.000934828733502605,1,-0.577350269189626,0,"Peripherals"
"OTU_107",28,0.211640211640212,5577,0.000429909357459703,0.949451080810003,0.0043457161600131,7,0.985798277293259,0.573979591836735,"Peripherals"
"OTU_1084",1,0,0,0.000266033973230248,5.09393431684849e-05,0.000550750733488386,1,-1.18661113133642,0,"Peripherals"
"OTU_1087",2,0,0,0.00036324485236499,0.0419736731295688,0.000498964327129538,2,-0.651081623773395,0,"Peripherals"
"OTU_1089",4,0.666666666666667,0,0.000364403975796194,0.0201043198389824,0.000926335851132973,3,-0.172143765122338,0,"Peripherals"
"OTU_1090",1,0,0,1.21565976476175,2.01335709978396e-18,0.00123001230012325,1,0,0,"Peripherals"
"OTU_1099",15,0.104761904761905,6572,0.000418176697751932,0.298133461291553,0.00317484780151712,6,0.255782066482405,0.648888888888889,"Connectors"
"OTU_110",1,0,0,1.22802297263,6.41656975439442e-18,0.00123001230012325,1,0,0,"Peripherals"
"OTU_1100",4,0.333333333333333,690,0.000429189534204797,0.0870847165112167,0.00083139084146924,3,-0.755471576991095,0.375,"Peripherals"
"OTU_1105",2,0,177,0.00038078566546521,0.00304105535330336,0.000627550800252701,2,-0.547722557505166,0,"Peripherals"
"OTU_1108",1,0,0,0.40769974609743,8.31685320335452e-18,0.00094759116919515,1,-0.577350269189626,0,"Peripherals"
