"","X09_10S_H_C_1","X09_11S_N_C_0","X09_12S_N_C_2","X09_13S_N_C_0","X09_14S_N_C_2","X09_15S_H_C_0","X09_16S_H_C_1","X09_17S_N_C_2","X09_18S_H_C_0","X09_19S_N_C_1","X09_1S_H_C_1","X09_20S_H_C_1","X09_21S_H_C_2","X09_22S_H_C_2","X09_23S_N_C_1","X09_24S_N_C_0","X09_2S_H_C_0","X09_3S_N_C_1","X09_4S_H_C_2","X09_5S_H_C_0","X09_6S_N_C_1","X09_7S_H_C_2","X09_8S_N_C_0","X09_9S_N_C_2","X13_12N_N_N_2","X13_18S_H_C_0","X13_22N_H_N_2","X13_23N_N_N_1","X13_3N_N_N_1","X13_4S_H_C_2","X13_6N_N_N_1","X13_8N_N_N_0","X14_15N_H_N_0","X14_16S_H_C_1","X14_1N_H_N_1","X14_23S_N_C_1","X14_3N_N_N_1","X14_3S_N_C_1","X14_4N_H_N_2","X14_4S_H_C_2"
"OTU_1",88,172,110,164,245,432,1060,243,633,138,171,60,156,41,70,125,115,67,146,250,66,115,658,153,15,15,4020,87,28,435,66,35,254,64,655,1,24,20,360,102
"OTU_2",165,341,379,40,250,73,92,40,165,2,75,21,771,17,97,181,126,26,2,297,276,29,421,79,103,414,443,53,92,983,74,72,548,104,354,2,3,280,249,439
"OTU_4",0,2801,0,246,0,1,0,0,1,1,0,0,0,0,0,0,3460,2,1,1,45,0,0,1,33,1,0,0,15,133,96,53,6,0,0,0,12,22,18,745
"OTU_8",21,4,15,3,0,47,1,0,10,0,0,0,0,2,2,0,4,5,0,0,0,0,3,22,20,15,177,6,41,53,57,87,221,6,45,1,4,2503,124,11
"OTU_9",12,11,35,15,21,18,2091,22,26,18,2,26,19,4,8,44,32,5,5,5,11,8,27,4,21,7,17,8,9,19,13,12,57,21,3,2,2,14,516,20
"OTU_11",54,45,75,110,106,184,35,153,272,99,212,111,150,48,101,181,22,41,22,200,36,99,395,97,34,11,26,102,23,53,32,17,18,10,1,3,17,12,165,8
"OTU_12",64,56,108,30,7,60,21,48,49,16,21,13,20,6,14,23,28,34,22,22,29,13,30,136,137,58,19,6,87,201,112,22,100,250,2,5,105,39,60,171
"OTU_13",16,34,86,65,13,52,43,19,25,68,4,12,64,21,16,3,13,62,10,16,64,13,80,56,263,11,5,7,115,41,92,23,5,8,2,2,87,85,37,100
"OTU_14",51,16,54,31,31,44,1,28,9,8,1,24,63,7,161,42,32,15,12,2,103,29,16,52,241,198,1,1,497,308,270,191,75,76,304,13,78,211,112,187
"OTU_16",8,13,9,16,13,8,2,10,538,8,2,15,10,121,3,126,271,2,6,1181,5,5,32,17,6,1,0,2,53,6,500,8,1,0,1,1,1,43,20,5
"OTU_17",142,3,2,0,2,0,1,45,71,1,0,0,2604,0,1,0,35,3,0,724,0,88,0,110,16,19,0,87,3,4,1,15,0,0,0,2,0,0,0,247
"OTU_19",7,8,25,81,2,2,1,1,7,1,4,9,0,0,5,0,3,3,1,1,2,2,0,27,196,63,25,13,1697,239,338,2,4,49,1,58,280,57,4,19
"OTU_20",97,1,1,0,1,0,0,2,0,0,14,0,0,0,2,0,0,11,35,35,0,0,1,0,138,0,0,0,1,0,690,0,8,0,1,1,1736,497,80,2
"OTU_22",0,1,0,0,0,1,0,1,0,0,0,1,2,0,0,1,0,0,1,1,0,1,3,0,1,24,2,0,0,8,1,0,68,402,33,0,3,0,12,39
"OTU_23",90,30,99,87,16,56,35,83,29,15,9,5,13,16,31,13,34,20,7,18,20,26,26,232,223,12,46,1,134,88,98,10,56,216,1,5,61,64,20,108
"OTU_24",11,30,194,35,12,77,16,70,25,130,2,14,64,4,37,13,15,17,10,15,30,7,10,21,90,16,41,6,98,60,105,5,99,271,0,7,95,87,46,141
"OTU_25",21,0,28,60,4,4,24,104,0,0,1,40,0,0,36,4,1,3,0,0,73,2,60,47,23,0,0,0,0,114,3,3273,0,1,0,0,0,29,0,0
"OTU_26",38,42,25,14,24,104,32,26,95,21,8,32,34,13,11,20,22,24,8,31,9,30,359,65,15,17,29,63,24,3,26,11,66,4,0,3,4,20,7,14
"OTU_27",4,88,470,92,157,3,477,8,4,183,0,189,1,2,285,44,0,59,30,239,0,1,37,3,0,9,5,0,0,19,0,8,0,0,0,0,0,1,0,0
