"","X09_10S_H_C_1","X09_11S_N_C_0","X09_12S_N_C_2","X09_13S_N_C_0","X09_14S_N_C_2","X09_15S_H_C_0","X09_16S_H_C_1","X09_17S_N_C_2","X09_18S_H_C_0","X09_19S_N_C_1","X09_1S_H_C_1","X09_20S_H_C_1","X09_21S_H_C_2","X09_22S_H_C_2","X09_23S_N_C_1","X09_24S_N_C_0","X09_2S_H_C_0","X09_3S_N_C_1","X09_4S_H_C_2","X09_5S_H_C_0","X09_6S_N_C_1","X09_7S_H_C_2","X09_8S_N_C_0","X09_9S_N_C_2","X13_12N_N_N_2","X13_18S_H_C_0","X13_22N_H_N_2","X13_23N_N_N_1","X13_3N_N_N_1","X13_4S_H_C_2","X13_6N_N_N_1","X13_8N_N_N_0","X14_15N_H_N_0","X14_16S_H_C_1","X14_1N_H_N_1","X14_23S_N_C_1","X14_3N_N_N_1","X14_3S_N_C_1","X14_4N_H_N_2","X14_4S_H_C_2"
"OTU_250",10,2,9,2,1,13,3,3,3,1,4,3,5,11,5,0,2,7,2,7,2,5,4,4,8,17,9,6,7,16,14,2,33,19,22,4,13,5,35,19
"OTU_5214",0,4,1,4,1,3,1,4,0,0,2,1,0,0,3,0,3,0,0,0,2,2,5,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
"OTU_277",0,7,10,3,4,5,5,9,12,4,5,10,10,4,0,0,1,8,6,14,4,2,11,12,12,25,1,8,2,12,5,9,3,15,9,4,23,13,12,15
"OTU_56",22,93,101,70,46,64,44,64,68,47,43,72,89,44,31,30,82,42,69,31,86,65,65,69,36,10,59,24,24,26,2,19,0,1,1,26,46,25,1,4
"OTU_848",0,0,2,1,2,2,3,5,8,3,2,9,4,10,2,0,2,3,4,1,3,0,1,4,13,13,8,4,1,1,3,2,3,7,6,3,2,3,1,4
"OTU_99",27,44,20,11,26,34,4,6,29,25,25,52,17,39,40,16,15,46,41,23,26,2,19,20,16,9,12,16,20,51,18,34,3,7,10,10,28,29,26,58
"OTU_905",4,4,5,1,1,4,6,12,10,1,2,9,8,2,1,1,4,12,12,5,9,0,3,13,34,1,7,2,0,0,2,0,0,0,1,3,9,8,1,0
"OTU_306",5,7,9,18,16,8,11,13,14,19,12,8,10,12,11,16,14,10,11,11,23,19,21,14,7,5,4,16,16,7,5,7,0,6,0,12,9,6,0,1
"OTU_4449",2,7,8,3,6,0,7,4,1,3,0,2,1,1,2,2,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,2,0,1,0,0
"OTU_333",1,6,13,15,12,10,10,20,11,15,12,6,7,10,10,8,6,10,10,7,14,15,11,15,5,6,5,10,7,4,8,7,0,3,0,13,17,15,0,2
"OTU_58",8,8,4,2,3,15,2,7,13,4,6,5,9,14,10,9,1,12,5,26,7,1,7,11,23,29,0,9,39,52,60,18,17,94,63,13,27,27,42,53
"OTU_479",1,1,1,0,4,4,4,4,8,1,2,2,6,2,0,0,0,4,1,6,1,0,3,5,15,34,9,3,3,7,10,4,9,12,17,1,6,9,33,19
"OTU_168",4,9,15,13,15,13,8,16,14,24,13,10,13,20,13,19,9,21,14,14,10,15,13,10,9,19,21,11,14,23,5,18,4,42,8,20,13,15,14,32
"OTU_9320",3,4,1,3,5,2,3,1,0,1,5,0,0,0,3,5,2,0,2,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"OTU_3920",2,1,0,1,5,3,2,5,6,1,2,6,2,0,0,3,1,2,1,2,0,0,2,6,1,0,0,1,2,0,0,0,0,0,0,1,0,1,0,0
"OTU_395",4,5,2,6,2,3,4,4,8,11,4,6,10,11,8,18,0,2,2,8,3,10,9,6,3,8,8,11,5,5,4,7,1,10,9,10,5,7,6,10
"OTU_1006",0,2,5,7,4,1,0,6,4,6,2,1,1,3,2,3,0,8,11,2,5,5,3,2,3,0,9,6,8,4,1,13,1,2,3,2,4,4,0,2
"OTU_1595",1,4,1,1,1,5,0,1,1,0,4,11,0,2,1,1,2,3,5,6,2,3,0,2,4,0,9,0,3,4,0,2,0,0,0,1,5,5,0,1
"OTU_158",1,5,6,16,3,3,3,8,14,11,6,4,6,8,9,2,3,9,6,13,7,3,10,8,11,22,4,17,16,10,7,13,2,36,15,9,16,7,7,25
"OTU_26",9,4,5,4,3,11,3,8,4,2,6,7,22,29,6,5,9,9,1,10,2,5,0,9,82,34,15,7,7,24,157,8,678,46,240,7,36,11,480,66
"OTU_519",3,18,8,8,11,12,13,7,11,17,9,10,5,6,5,4,8,15,10,17,7,4,15,12,8,6,3,8,20,5,9,5,0,7,0,13,10,16,2,2
"OTU_1163",4,12,5,1,5,6,2,3,6,4,4,11,6,5,9,14,1,6,9,7,9,4,16,6,1,0,9,4,7,0,3,2,0,0,0,10,1,4,0,1
"OTU_2212",1,0,1,1,3,5,3,1,3,3,2,1,0,2,1,1,1,5,0,6,2,4,0,5,1,0,1,2,2,1,2,2,0,1,0,1,1,1,1,1
"OTU_220",3,10,6,11,6,6,6,6,10,7,4,4,3,3,11,13,7,4,5,6,11,7,11,6,3,17,5,8,12,14,9,8,12,14,13,11,12,14,17,14
"OTU_1255",0,1,0,1,3,1,1,1,4,1,2,2,8,1,0,0,0,1,1,0,0,0,2,3,4,7,0,1,1,4,5,2,9,21,9,1,1,0,8,5
"OTU_136",2,10,10,4,3,15,3,8,8,9,7,3,9,10,5,4,7,30,13,46,10,14,10,18,15,42,4,2,14,30,5,45,3,53,20,4,23,18,45,49
"OTU_1035",0,1,8,5,2,2,11,3,3,7,2,7,4,5,4,2,2,6,3,4,3,1,4,3,3,6,4,8,3,1,2,6,0,0,0,4,11,8,8,0
