sample,year,Warm,total.biomass,F.Bratio,Bacteria.biomass,AM.Fungi.biomass,Fungi.biomass,NO3.N,NH4.N,TN,TC,pH,FlTotl,FlC4,FlC3,plant.richness,annual_moisture,precipitation_Oct_cm,precipitation_annual_cm,SPEI,temperature_annual,ER_annualmean,GPP_annualmean,NEE_annualmean,Autotrophic,Heterotrophic,total_soil_respiration
X09_10S_H_C_1,2009,unwarming,40692.09544,0.056643571,38062.44953,1283.44834,872.5447339,2.28,4.02,0.111,1.047,7.25,425.16,77.84,347.32,6,6.526,16.3,101.16,0.0904,18.84485794,5.441832296,11.63086135,6.189029059,NA,NA,NA
X09_11S_N_C_0,2009,unwarming,34374.78615,0.061166502,31823.1017,995.5854646,950.9223521,1.01,2.84,0.092,0.833,6.98,604.03,318.29,285.74,8,7.13,16.3,101.16,0.0904,16.83779937,7.752553064,12.54981194,4.79725888,NA,NA,NA
X09_12S_N_C_2,2009,unwarming,25713.76563,0.02202198,25159.69924,554.0663901,0,1.26,2.99,0.107,1.01,6.6,342.65,83.73,258.92,5,6.708,16.3,101.16,0.0904,24.00198173,9.291400446,11.85034668,2.558946234,NA,NA,NA
X09_13S_N_C_0,2009,unwarming,44571.64214,0.08597448,40006.48723,1311.285605,2128.251321,1.5,3.56,0.134,1.352,6.71,234.65,125.45,109.2,10,6.81,16.3,101.16,0.0904,16.60341228,6.945354831,10.85741014,3.912055306,NA,NA,NA
X09_14S_N_C_2,2009,unwarming,51562.82226,0.05321471,47779.74333,1582.348901,960.2362744,1.31,4.35,0.135,1.381,6.24,273.78,91.59,182.19,8,7.344,16.3,101.16,0.0904,16.14122084,7.42714462,10.32138518,2.894240559,NA,NA,NA
X09_15S_H_C_0,2009,unwarming,36593.69097,0.053403505,34367.94483,1084.867546,750.5011777,2.18,5.4,0.127,1.111,6.85,127.51,15.44,112.07,4,5.768,16.3,101.16,0.0904,19.33658608,6.062333211,9.235843529,3.173510318,NA,NA,NA
X09_16S_H_C_1,2009,unwarming,42517.10567,0.05009362,39728.54486,1292.27392,697.8726966,1.09,3.36,0.111,1.121,6.91,408.98,118.58,290.4,6,7.074,16.3,101.16,0.0904,20.02399943,6.041609075,9.043173883,3.001564808,NA,NA,NA
X09_17S_N_C_2,2009,unwarming,45216.16143,0.086177577,40854.14244,1884.485297,1636.225724,0.87,4.26,0.109,1.146,6.82,120,84.23,35.77,6,6.492,16.3,101.16,0.0904,16.80954103,8.657540529,12.92486092,4.267320388,NA,NA,NA
X09_18S_H_C_0,2009,unwarming,33772.76991,0.052158936,31773.45499,973.1958176,684.0737833,0.97,3.01,0.108,1.041,6.71,277.25,130.98,146.27,6,6.924,16.3,101.16,0.0904,19.18723927,7.242396825,12.42893807,5.186541249,NA,NA,NA
X09_19S_N_C_1,2009,unwarming,38756.39095,0.044008895,36763.05363,1203.332213,414.5691699,0.7,2.84,0.086,0.857,6.65,534.6,105.42,429.18,3,5.816,16.3,101.16,0.0904,16.14164864,10.60208406,12.74698845,2.144904394,NA,NA,NA
X09_1S_H_C_1,2009,unwarming,23081.61907,0.015424224,22074.22787,0,340.4778373,3.12,2.71,0.107,1.034,6.57,497.16,154.37,342.79,7,5.98,16.3,101.16,0.0904,18.64462531,7.760058366,10.15046303,2.390404665,NA,NA,NA
X09_20S_H_C_1,2009,unwarming,30992.00337,0.004388101,30340.87193,0,133.1387978,0.68,2.96,0.098,0.893,6.72,290.63,67.57,223.06,6,6.198,16.3,101.16,0.0904,19.76820056,6.973755628,9.727989232,2.754233605,NA,NA,NA
X09_21S_H_C_2,2009,unwarming,35120.91611,0.048591327,32859.30443,1186.895077,409.7821129,1.12,2.95,0.095,0.828,6.54,513.73,173.91,339.82,6,7.506,16.3,101.16,0.0904,19.15653932,10.99412783,15.72888633,4.734758496,NA,NA,NA
