ID,Phylum,Class,Order,Family,Genus,Species
OTU_250,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Xanthobacteraceae,Azorhizobium,Azorhizobium caulinodans
OTU_5214,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Buchnera,Buchnera aphidicola
OTU_277,Actinomycetota,Actinomycetes,Micrococcales,Cellulomonadaceae,Cellulomonas,Cellulomonas gilvus
OTU_56,Dictyoglomota,Dictyoglomia,Dictyoglomales,Dictyoglomaceae,Dictyoglomus,Dictyoglomus thermophilum
OTU_848,Pseudomonadota,Betaproteobacteria,Nitrosomonadales,Methylophilaceae,Methylophilus,Methylophilus methylotrophus
OTU_99,Thermodesulfobacteriota,Desulfuromonadia,Desulfuromonadales,Syntrophotaleaceae,Syntrophotalea,Syntrophotalea carbinolica
OTU_905,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella putrefaciens
OTU_306,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus xanthus
OTU_4449,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus macrosporus
OTU_333,Myxococcota,Myxococcia,Myxococcales,Archangiaceae,Stigmatella,Stigmatella aurantiaca
OTU_58,Myxococcota,Myxococcia,Myxococcales,Archangiaceae,Cystobacter,Cystobacter fuscus
OTU_479,Myxococcota,Myxococcia,Myxococcales,Archangiaceae,Archangium,Archangium gephyra
OTU_168,Chlamydiota,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia,Chlamydia trachomatis
OTU_9320,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides fragilis
OTU_3920,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Vitreoscilla,Vitreoscilla stercoraria
OTU_395,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Vitreoscilla,Vitreoscilla filiformis
OTU_1006,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Lysobacter,Lysobacter enzymogenes
OTU_1595,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Simonsiella,Simonsiella muelleri
OTU_158,Pseudomonadota,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,Caulobacter sp.
OTU_26,Pseudomonadota,Alphaproteobacteria,Hyphomonadales,Hyphomonadaceae,Hyphomonas,Hyphomonas sp.
OTU_519,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Stellaceae,Stella,Stella humosa
OTU_1163,Bacteroidota,Cytophagia,Cytophagales,Cyclobacteriaceae,Cyclobacterium,Cyclobacterium marinum
OTU_2212,Bacteroidota,Cytophagia,Cytophagales,Spirosomataceae,Runella,Runella slithyformis
OTU_220,Bacteroidota,Cytophagia,Cytophagales,Cytophagaceae,Spirosoma,Spirosoma linguale
OTU_1255,Planctomycetota,Planctomycetia,Gemmatales,Gemmataceae,Gemmata,Gemmata obscuriglobus
OTU_136,Planctomycetota,Planctomycetia,Planctomycetales,Planctomycetaceae,Rubinisphaera,Rubinisphaera brasiliensis
OTU_1035,Planctomycetota,Planctomycetia,Planctomycetales,Planctomycetaceae,Planctopirus,Planctopirus limnophila
OTU_1768,Planctomycetota,Planctomycetia,Planctomycetales,Planctomycetaceae,Gimesia,Gimesia maris
OTU_752,Planctomycetota,Planctomycetia,Isosphaerales,Isosphaeraceae,Isosphaera,Isosphaera pallida
OTU_305,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Methylocystaceae,Methylocystis,Methylocystis parvus
OTU_588,Spirochaetota,Spirochaetia,Spirochaetales,Borreliaceae,Borreliella,Borreliella burgdorferi
OTU_1238,Spirochaetota,Spirochaetia,Spirochaetales,Borreliaceae,Borrelia,Borrelia parkeri
OTU_169,Spirochaetota,Spirochaetia,Spirochaetales,Borreliaceae,Borrelia,Borrelia anserina
OTU_820,Spirochaetota,Spirochaetia,Spirochaetales,Borreliaceae,Borrelia,Borrelia coriaceae
OTU_3948,Spirochaetota,Spirochaetia,Winmispirales,Winmispiraceae,Winmispira,Winmispira thermophila
OTU_1978,Spirochaetota,Spirochaetia,Spirochaetales,Treponemataceae,Treponema,Treponema denticola
OTU_977,Spirochaetota,Spirochaetia,Brachyspirales,Brachyspiraceae,Brachyspira,Brachyspira hyodysenteriae
OTU_440,Spirochaetota,Spirochaetia,Spirochaetales,Treponemataceae,Treponema,Treponema phagedenis
OTU_226,Spirochaetota,Spirochaetia,Spirochaetales,Treponemataceae,Treponema,Treponema bryantii
OTU_2311,Spirochaetota,Spirochaetia,Spirochaetales,Treponemataceae,Treponema,Treponema saccharophilum
OTU_1342,Spirochaetota,Spirochaetia,Spirochaetales,Treponemataceae,Treponema,Treponema succinifaciens
OTU_445,Spirochaetota,Spirochaetia,Leptospirales,Leptospiraceae,Leptospira,Leptospira biflexa
OTU_36,Spirochaetota,Spirochaetia,Leptospirales,Leptospiraceae,Leptospira,Leptospira interrogans
OTU_91,Spirochaetota,Spirochaetia,Leptospirales,Leptospiraceae,Leptospira,Leptospira borgpetersenii
OTU_367,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Azospirillaceae,Azospirillum,Azospirillum brasilense
OTU_427,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Azospirillaceae,Azospirillum,Azospirillum lipoferum
OTU_2842,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter coli
OTU_990,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter fetus
OTU_1329,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter jejuni
OTU_2641,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter hyointestinalis
OTU_2200,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter concisus
OTU_281,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter curvus
OTU_41654,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter lari
OTU_134,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter mucosalis
OTU_2778,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter sputorum
OTU_107,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter pylori
OTU_88,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter acinonychis
OTU_96,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter cinaedi
OTU_316,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter mustelae
OTU_362,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas carrageenovora
OTU_3489,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Brucellaceae,Brucella,Brucella abortus
OTU_3865,Bacteroidota,Flavobacteriia,Flavobacteriales,Weeksellaceae,Elizabethkingia,Elizabethkingia meningoseptica
OTU_298,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium sp.
OTU_780,Bacteroidota,Flavobacteriia,Flavobacteriales,Weeksellaceae,Chryseobacterium,Chryseobacterium balustinum
OTU_4976,Bacteroidota,Flavobacteriia,Flavobacteriales,Weeksellaceae,Empedobacter,Empedobacter brevis
OTU_346,Bacteroidota,Flavobacteriia,Flavobacteriales,Weeksellaceae,Chryseobacterium,Chryseobacterium gleum
OTU_69,Bacteroidota,Flavobacteriia,Flavobacteriales,Weeksellaceae,Chryseobacterium,Chryseobacterium indologenes
OTU_401,Bacteroidota,Flavobacteriia,Flavobacteriales,Weeksellaceae,Chryseobacterium,Chryseobacterium indoltheticum
OTU_429,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Myroides,Myroides odoratus
OTU_159,Bacteroidota,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,Sphingobacterium spiritivorum
OTU_2632,Bacteroidota,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,Sphingobacterium thalpophilum
OTU_51,Pseudomonadota,Gammaproteobacteria,Thiotrichales,Francisellaceae,Francisella,Francisella tularensis
OTU_253,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Paracoccus,Paracoccus denitrificans
OTU_591,Deinococcota,Deinococci,Thermales,Thermaceae,Thermus,Thermus aquaticus
